country,country_code,region,city,id,osm_lat,osm_long,g_lat,g_long
United States of America,US,Michigan,Woodhaven,2469537,42.1389303,-83.2415951,42.1389303,-83.2415951
United States of America,US,Michigan,Wyandotte,2469551,42.2142064,-83.1499239,42.2142064,-83.1499239
United States of America,US,Michigan,Wyoming,2469553,42.8909935064044,-85.706745485494,42.9133602,-85.7053085
United States of America,US,Michigan,Ypsilanti,2469560,42.2436980690608,-83.6207261328621,42.2411499,-83.6129939
United States of America,US,Minnesota,Albert Lea,2470200,43.6480127,-93.3682656,43.6485683,-93.3624319
United States of America,US,Minnesota,Alexandria,2470209,45.8852397,-95.3775379,45.884258,-95.373978
United States of America,US,Minnesota,Andover,2470225,45.2570883099428,-93.3264022770687,45.2332984,-93.2913405
United States of America,US,Minnesota,Anoka,2470234,45.1977428,-93.3871758,45.1977428,-93.3871758
United States of America,US,Minnesota,Apple Valley,2470237,44.7319094,-93.21772,44.7319094,-93.21772
United States of America,US,Minnesota,Austin,2470268,43.6666296,-92.9746367,43.6666296,-92.9746367
United States of America,US,Minnesota,Bemidji,2470338,47.4820311544802,-94.8818529579894,47.4736111,-94.8802778
United States of America,US,Minnesota,Blaine,2470383,45.1607987,-93.2349489,45.1607987,-93.2349489
United States of America,US,Minnesota,Bloomington,2470388,44.8305796375012,-93.3151298226108,44.840798,-93.2982799
United States of America,US,Minnesota,Brainerd,2470410,46.3580221,-94.2008288,46.35722,-94.19444
United States of America,US,Minnesota,Brooklyn Center,2470430,45.0680843041963,-93.3161068755849,45.076076,-93.3327283
United States of America,US,Minnesota,Brooklyn Park,2470431,45.1004807,-93.3443585,45.0941315,-93.3563405
United States of America,US,Minnesota,Buffalo,2470449,45.1787360638503,-93.8661269661195,45.1777778,-93.8722222
United States of America,US,Minnesota,Burnsville,2470455,44.7677424,-93.2777226,44.7677424,-93.2777226
United States of America,US,Minnesota,Champlin,2470519,45.1702744055816,-93.3904565574263,45.1888539,-93.3974537
United States of America,US,Minnesota,Chanhassen,2470521,44.8543467741588,-93.5622157798687,44.857207,-93.55783
United States of America,US,Minnesota,Chaska,2470523,44.7894072,-93.6021791,44.7893446,-93.6018389
United States of America,US,Minnesota,Cloquet,2470556,46.7220991650364,-92.4923807874882,46.7241667,-92.4638889
United States of America,US,Minnesota,Columbia Heights,2470574,45.0535636604486,-93.2501285856664,45.0407987,-93.2630037
United States of America,US,Minnesota,Coon Rapids,2470587,45.1199652,-93.2877277,45.1199652,-93.2877277
United States of America,US,Minnesota,Cottage Grove,2470599,44.8162374944969,-92.9272229035617,44.8277446,-92.9438218
United States of America,US,Minnesota,Crystal,2470621,45.037652480095,-93.3598371137318,45.0327425,-93.3602286
United States of America,US,Minnesota,Duluth,2470698,46.7819339104834,-92.1195156599032,46.7866719,-92.1004852
United States of America,US,Minnesota,Eagan,2470713,44.818173,-93.1659179,44.8041322,-93.1668858
United States of America,US,Minnesota,East Bethel,2470718,45.3555393407395,-93.2035247848346,45.3194095,-93.2024487
United States of America,US,Minnesota,Eden Prairie,2470731,44.8546856,-93.470786,44.8546856,-93.470786
United States of America,US,Minnesota,Edina,2470735,44.891352503718,-93.3602269422034,44.8896866,-93.3499489
United States of America,US,Minnesota,Elk River,2470750,45.3313212696097,-93.5669658571664,45.3172222,-93.5811111
United States of America,US,Minnesota,Fairmont,2470799,43.6440358104052,-94.4618117252388,43.6266807,-94.479976
United States of America,US,Minnesota,Faribault,2470803,44.2949637,-93.268827,44.2949636,-93.268827
United States of America,US,Minnesota,Farmington,2470805,44.6573504372366,-93.1689850678844,44.6402434,-93.1435497
United States of America,US,Minnesota,Fergus Falls,2470811,46.2830152,-96.0775581,46.2830556,-96.0775
United States of America,US,Minnesota,Forest Lake,2470837,45.2535920725084,-92.9581210917638,45.2788561,-92.9852183
United States of America,US,Minnesota,Fridley,2470867,45.0842184753541,-93.2595705146439,45.0860765,-93.2632821
United States of America,US,Minnesota,Golden Valley,2470917,44.9900946853437,-93.3590190014655,44.9917149,-93.3600034
United States of America,US,Minnesota,Ham Lake,2470984,45.2502429,-93.2499508,45.2502429,-93.2499507
United States of America,US,Minnesota,Hastings,2471008,44.7319105195356,-92.854046866736,44.73525,-92.85265
United States of America,US,Minnesota,Hibbing,2471042,47.4271546,-92.9376887,47.4271546,-92.9376887
United States of America,US,Minnesota,Hopkins,2471072,44.925942831614,-93.4058570659853,44.9267,-93.405282
United States of America,US,Minnesota,Hugo,2471082,45.159967,-92.9932734,45.159964,-92.9933412
United States of America,US,Minnesota,Hutchinson,2471089,44.8857086929162,-94.3769235858701,44.88765,-94.379349
United States of America,US,Minnesota,Inver Grove Heights,2471103,44.8245558318226,-93.0595543152736,44.8480218,-93.0427153
United States of America,US,Minnesota,Lakeville,2471221,44.6496868,-93.24272,44.6496868,-93.24272
United States of America,US,Minnesota,Lewiston,2471267,43.9846785,-91.8695909,43.9841295,-91.8679316
United States of America,US,Minnesota,Lino Lakes,2471278,45.167898002592,-93.0829691144652,45.1602442,-93.0888324
United States of America,US,Minnesota,Little Canada,2471283,45.0244102398587,-93.086322012463,45.0269101,-93.0877196
United States of America,US,Minnesota,Mahtomedi,2471331,45.0616929555937,-92.9661774863507,45.0696886,-92.9516037
United States of America,US,Minnesota,Mankato,2471347,44.1635775,-93.9993996,44.1635775,-93.9993996
United States of America,US,Minnesota,Maple Grove,2471353,45.0759797,-93.4561052,45.0724642,-93.4557877
United States of America,US,Minnesota,Maplewood,2471361,44.984035562026,-93.0247354967579,44.9530215,-92.9952153
United States of America,US,Minnesota,Marshall,2471372,44.4469033,-95.7883541,44.3981292,-95.8987139
United States of America,US,Minnesota,Mendota Heights,2471406,44.8813161909274,-93.1404250604386,44.8835768,-93.1382749
United States of America,US,Minnesota,Minneapolis,2471428,44.9772995,-93.2654692,44.9799654,-93.2638361
United States of America,US,Minnesota,Minnetonka,2471434,44.9127229,-93.499059,44.9211836,-93.4687489
United States of America,US,Minnesota,Monticello,2471449,45.2977843668948,-93.798259352638,45.3055201,-93.7941378
United States of America,US,Minnesota,Moorhead,2471451,46.8483806307168,-96.7309068024115,46.8738889,-96.7672222
United States of America,US,Minnesota,Mounds View,2471464,45.1071198536752,-93.2077489224536,45.1049656,-93.2085582
