country,country_code,region,city,id,lat,long,lat,lng
Argentina,AR,,Victoria,90994,-34.4562893,,-34.4562893,-58.5466236
Argentina,AR,,Viedma,91000,-40.8119087,,-40.8119087,-62.9962044
Argentina,AR,,Villa Carlos Paz,91055,-31.4209385,,-31.4209385,-64.5001297
Argentina,AR,,Villa Constitución,91076,-33.2336388,,-33.2336388,-60.3341713
Argentina,AR,,Villa María,91226,-32.4104614,,-32.4104614,-63.243645
Argentina,AR,,Zárate,91476,-34.0988083,,-34.0988083,-59.0322914
Austria,AT,,Absam,91505,47.2970904,,47.2970904,11.5117744
Austria,AT,,Abtenau,91514,47.564,,47.564,13.34519
Austria,AT,,Altach,91714,47.35356,,47.35356,9.64996
Austria,AT,,Althofen,91782,46.86979,,46.86979,14.4767
Austria,AT,,Altmünster,91798,47.90109,,47.90109,13.76722
Austria,AT,,Amstetten,91863,48.12502,,48.12502,14.86934
Austria,AT,,Anif,91899,47.75149,,47.75149,13.06491
Austria,AT,,Ansfelden,91913,48.20784,,48.20784,14.29082
Austria,AT,,Arnoldstein,91965,46.54992,,46.54992,13.70523
Austria,AT,,Asten,92040,48.21884,,48.21884,14.42019
Austria,AT,,Axams,92175,47.23036,,47.23036,11.27923
Austria,AT,,Bad Aussee,92206,47.60943,,47.60943,13.78332
Austria,AT,,Bad Goisern,92223,47.64621,,47.64621,13.61584
Austria,AT,,Bad Hall,92224,48.03812,,48.03812,14.20876
Austria,AT,,Bad Hofgastein,92226,47.17245,,47.17245,13.09813
Austria,AT,,Bad Ischl,92227,47.71239,,47.71239,13.62096
Austria,AT,,Bad Sankt Leonhard,92236,46.96201,,46.96201,14.79502
Austria,AT,,Bad Vöslau,92244,47.96482,,47.96482,16.21385
Austria,AT,,Baden,92210,48.00214,,48.00214,16.23091
Austria,AT,,Bergheim,92353,47.84652,,47.84652,13.03567
Austria,AT,,Berndorf,92366,47.93543,,47.93543,16.12358
Austria,AT,,Bischofshofen,92442,47.41725,,47.41725,13.21944
Austria,AT,,Bludenz,92479,47.15991,,47.15991,9.80821
Austria,AT,,Braunau,92573,48.25573,,48.25573,13.04432
Austria,AT,,Bregenz,92583,47.50075,,47.50075,9.74231
Austria,AT,,Bruck an der Leitha,92665,48.02375,,48.02375,16.77534
Austria,AT,,Bruck an der Mur,92666,47.40993,,47.40993,15.26861
Austria,AT,,Bärnbach,92276,47.07115,,47.07115,15.12841
Austria,AT,,Deutsch-Wagram,92906,48.29898,,48.29898,16.56466
Austria,AT,,Deutschlandsberg,92901,46.81595,,46.81595,15.21338
Austria,AT,,Dornbirn,93093,47.4124,,47.4124,9.74379
Austria,AT,,Ebbs,93196,47.62946,,47.62946,12.21444
Austria,AT,,Ebensee,93217,47.80739,,47.80739,13.77842
Austria,AT,,Ebenthal,93218,48.43626,,48.43626,16.786
Austria,AT,,Eberndorf,93232,46.59037,,46.59037,14.6417
Austria,AT,,Ebreichsdorf,93251,47.96312,,47.96312,16.40237
Austria,AT,,Eisenerz,93439,47.5425,,47.5425,14.8889
Austria,AT,,Eisenstadt,93450,47.84637,,47.84637,16.52796
Austria,AT,,Engerwitzdorf,93542,48.34333,,48.34333,14.44226
Austria,AT,,Enns,93553,48.21309,,48.21309,14.47515
Austria,AT,,Feldbach,93779,46.95279,,46.95279,15.88784
Austria,AT,,Feldkirchen an der Donau,93785,48.34428,,48.34428,14.05221
Austria,AT,,Feldkirchen,93788,46.72674,,46.72674,14.08946
Austria,AT,,Feldkirch,93792,47.24128,,47.24128,9.6019
Austria,AT,,Ferlach,93814,46.52686,,46.52686,14.29894
Austria,AT,,Finkenstein,93856,46.56126,,46.56126,13.87099
Austria,AT,,Fohnsdorf,93931,47.20762,,47.20762,14.67553
Austria,AT,,Frankenburg,93972,48.0678,,48.0678,13.49137
Austria,AT,,Freistadt,94038,48.50217,,48.50217,14.50201
Austria,AT,,Friesach,94077,46.95149,,46.95149,14.41155
Austria,AT,,Frohnleiten,94098,47.26922,,47.26922,15.32225
Austria,AT,,Fucking,94130,48.06733,,48.06733,12.86327
Austria,AT,,Fügen,94132,47.34698,,47.34698,11.84941
Austria,AT,,Fürstenfeld,94157,47.04795,,47.04795,16.08013
Austria,AT,,Gallneukirchen,94236,48.35338,,48.35338,14.41664
Austria,AT,,Garsten,94287,48.023031,,48.023031,14.4043324
Austria,AT,,Gleisdorf,94515,47.10682,,47.10682,15.7085
Austria,AT,,Gloggnitz,94528,47.67446,,47.67446,15.94245
Austria,AT,,Gmunden,94545,47.91839,,47.91839,13.79933
Austria,AT,,Gmünd,94547,48.77156,,48.77156,14.98511
Austria,AT,,Gratkorn,94802,47.13486,,47.13486,15.34025
Austria,AT,,Graz,94809,47.070714,,47.070714,15.439504
Austria,AT,,Grieskirchen,94851,48.23587,,48.23587,13.82617
Austria,AT,,Grödig,94879,47.73841,,47.73841,13.03823
